x,MeanCluster6,MeanCluster5,MeanCluster4,MeanCluster3,MeanCluster2,MeanCluster1
0.445,0.19595,0.22689,0.144256,0.124975,0.071922222,0.0391
0.446,0.1975,0.22915,0.145712,0.1262375,0.072733333,0.0401
0.447,0.1973,0.22991,0.146588,0.1269875,0.073933333,0.0403
0.448,0.19745,0.23059,0.147492,0.127625,0.0748,0.0408
0.449,0.1997,0.23224,0.148832,0.1283375,0.074811111,0.0426
0.45,0.2008,0.23404,0.150176,0.129925,0.075955556,0.0424
0.451,0.20175,0.2354,0.15132,0.1310875,0.076966667,0.0425
0.452,0.20265,0.23623,0.152264,0.1316125,0.077722222,0.043
0.453,0.2034,0.23692,0.153204,0.1322625,0.078066667,0.0442
0.454,0.20435,0.23843,0.154444,0.133225,0.078466667,0.0444
0.455,0.20545,0.24033,0.155744,0.1343,0.0789,0.0438
0.456,0.2064,0.24119,0.156176,0.134975,0.079488889,0.0429
0.457,0.2072,0.24195,0.157068,0.135825,0.080788889,0.0442
0.458,0.2083,0.24276,0.158036,0.136675,0.081644444,0.0457
0.459,0.2101,0.24379,0.158768,0.13735,0.0809,0.0453
0.46,0.211,0.24531,0.159996,0.13815,0.081377778,0.0456
0.461,0.21155,0.24625,0.160888,0.1388,0.082277778,0.046
0.462,0.2121,0.24634,0.161208,0.13925,0.083533333,0.046
0.463,0.2123,0.24722,0.161872,0.1399875,0.084044444,0.0476
0.464,0.21315,0.24837,0.162612,0.140625,0.083988889,0.048
0.465,0.21435,0.24961,0.163396,0.1412,0.0836,0.0473
0.466,0.2149,0.25001,0.164276,0.14175,0.084444444,0.0472
0.467,0.21555,0.25077,0.164832,0.142525,0.085155556,0.0479
0.468,0.21625,0.25164,0.165336,0.143275,0.0858,0.049
0.469,0.21715,0.25243,0.166176,0.1434375,0.086455556,0.0495
0.47,0.21725,0.25323,0.166808,0.1438375,0.086355556,0.0483
0.471,0.2177,0.25393,0.167412,0.1444875,0.086466667,0.0476
0.472,0.21895,0.25443,0.167964,0.1454875,0.087188889,0.0484
0.473,0.219,0.25534,0.168844,0.1459875,0.087711111,0.0498
0.474,0.21985,0.25655,0.169504,0.146375,0.088233333,0.0505
0.475,0.2214,0.25803,0.169992,0.146725,0.0887,0.0506
0.476,0.2219,0.25818,0.171176,0.1478125,0.088966667,0.0501
0.477,0.2222,0.2589,0.171944,0.148675,0.089433333,0.051
0.478,0.22255,0.25991,0.17248,0.149275,0.090011111,0.0524
0.479,0.2238,0.2609,0.173008,0.1494,0.0906,0.0526
0.48,0.2248,0.26173,0.17376,0.150125,0.0909,0.0522
0.481,0.2256,0.26264,0.174612,0.1509875,0.091155556,0.0517
0.482,0.2263,0.26378,0.175548,0.1518,0.091444444,0.051
0.483,0.2272,0.26441,0.176156,0.1523375,0.092155556,0.0523
0.484,0.228,0.26527,0.176812,0.1529125,0.092677778,0.0534
0.485,0.2287,0.26641,0.177576,0.153525,0.092977778,0.054
0.486,0.22875,0.26697,0.178172,0.15405,0.093566667,0.0536
0.487,0.22935,0.26783,0.179136,0.15485,0.094,0.0536
0.488,0.2304,0.26892,0.180268,0.15585,0.094455556,0.054
0.489,0.2318,0.27024,0.181116,0.1566,0.095566667,0.0542
0.49,0.2324,0.27114,0.181952,0.1574125,0.096111111,0.0552
0.491,0.23295,0.27192,0.182676,0.1580625,0.096466667,0.0559
0.492,0.2341,0.27285,0.183224,0.1583625,0.096755556,0.0554
0.493,0.2349,0.27406,0.184452,0.1594625,0.097655556,0.0562
0.494,0.23575,0.27544,0.185716,0.1606875,0.098566667,0.0568
0.495,0.23675,0.27687,0.186844,0.1618375,0.0992,0.0569
0.496,0.2379,0.27791,0.187892,0.16235,0.099644444,0.0568
0.497,0.23885,0.27888,0.188828,0.1631375,0.100388889,0.0578
0.498,0.23955,0.27985,0.189712,0.1641125,0.101322222,0.0593
