x,01_Soil,02_Dry_bush,03_Soil,04_Very_green_bush,05_Soil_with_crust,06_Soil_without_crust,07_Desert_pink_flowers,08_Brown_thorns,09_Very_dry_grass,10_Mix_of_soil_and_crust,11_Dense_desert_pink_flowers,12_Soil_with_crust,13_Rock_and_stones,14_Small_stones,15_Green-light_blue_bush,16_Very_dry_grass,17_Greenish_thorns,18_Bush,19_Sparse_dry_grass,20_Soil_with_crust,21_Acacia
0.4338 ,0.078433333,0.098325000,0.242633333,0.068433333,0.237500000,0.175675000,0.111566667,0.065200000,0.087600000,0.189933333,0.071733333,0.241133333,0.254475000,0.433325000,0.079533333,0.067933333,0.069466667,0.114450000,0.096500000,0.217700000,0.060540000
0.4353 ,0.079600000,0.099025000,0.244966667,0.069300000,0.239600000,0.177575000,0.112866667,0.065900000,0.088800000,0.191966667,0.072666667,0.243466667,0.256600000,0.434550000,0.080266667,0.068966667,0.070833333,0.115650000,0.098033333,0.219666667,0.061360000
0.4367 ,0.080666667,0.099700000,0.247200000,0.070166667,0.241666667,0.179350000,0.114066667,0.066533333,0.089900000,0.193933333,0.073500000,0.245666667,0.258625000,0.435850000,0.080866667,0.070000000,0.072000000,0.116775000,0.099466667,0.221600000,0.062100000
0.4382 ,0.081800000,0.100375000,0.249533333,0.071033333,0.243900000,0.181275000,0.115400000,0.067233333,0.091033333,0.195933333,0.074400000,0.247933333,0.260725000,0.437275000,0.081566667,0.071066667,0.073100000,0.118000000,0.101066667,0.223733333,0.062920000
0.4396 ,0.083166667,0.101325000,0.252366667,0.072033333,0.246666667,0.183600000,0.117100000,0.068166667,0.092533333,0.198300000,0.075500000,0.250500000,0.263100000,0.439100000,0.082400000,0.072300000,0.074333333,0.119425000,0.102900000,0.226400000,0.063860000
0.4411 ,0.084266667,0.101925000,0.254500000,0.072800000,0.248766667,0.185350000,0.118266667,0.068833333,0.093633333,0.200066667,0.076233333,0.252433333,0.264775000,0.440550000,0.083000000,0.073333333,0.075300000,0.120550000,0.104466667,0.228500000,0.064620000
0.4425 ,0.085366667,0.102575000,0.256700000,0.073500000,0.250766667,0.187150000,0.119466667,0.069433333,0.094733333,0.201966667,0.077066667,0.254500000,0.266750000,0.441650000,0.083566667,0.074266667,0.076200000,0.121600000,0.105933333,0.230333333,0.065320000
0.4440 ,0.086366667,0.103125000,0.258666667,0.074200000,0.252600000,0.188800000,0.120566667,0.070033333,0.095800000,0.203766667,0.077833333,0.256566667,0.268575000,0.442675000,0.084066667,0.075200000,0.077000000,0.122600000,0.107333333,0.232066667,0.066020000
0.4454 ,0.087600000,0.103875000,0.261066667,0.075000000,0.254933333,0.190800000,0.122000000,0.070833333,0.097100000,0.205833333,0.078733333,0.258833333,0.270650000,0.444250000,0.084700000,0.076333333,0.077933333,0.123800000,0.109033333,0.234333333,0.066820000
0.4469 ,0.088733333,0.104550000,0.263200000,0.075733333,0.256966667,0.192600000,0.123233333,0.071566667,0.098300000,0.207700000,0.079533333,0.260833333,0.272475000,0.445625000,0.085266667,0.077366667,0.078733333,0.124825000,0.110600000,0.236333333,0.067520000
0.4483 ,0.089866667,0.105250000,0.265333333,0.076466667,0.259100000,0.194425000,0.124600000,0.072300000,0.099566667,0.209600000,0.080366667,0.262866667,0.274325000,0.447050000,0.085866667,0.078400000,0.079500000,0.125900000,0.112266667,0.238366667,0.068240000
0.4497 ,0.090833333,0.105725000,0.267066667,0.077000000,0.260766667,0.195900000,0.125600000,0.072833333,0.100600000,0.211200000,0.081000000,0.264633333,0.275900000,0.447975000,0.086300000,0.079266667,0.080166667,0.126775000,0.113666667,0.239966667,0.068820000
0.4512 ,0.091900000,0.106300000,0.268966667,0.077633333,0.262533333,0.197525000,0.126733333,0.073466667,0.101733333,0.212966667,0.081766667,0.266600000,0.277600000,0.448950000,0.086800000,0.080133333,0.080766667,0.127725000,0.115100000,0.241633333,0.069440000
0.4526 ,0.092866667,0.106875000,0.270700000,0.078233333,0.264266667,0.199100000,0.127900000,0.074100000,0.102933333,0.214633333,0.082500000,0.268400000,0.279225000,0.450100000,0.087300000,0.081133333,0.081366667,0.128625000,0.116600000,0.243366667,0.070000000
0.4541 ,0.094066667,0.107550000,0.272733333,0.078900000,0.266266667,0.200850000,0.129300000,0.074900000,0.104266667,0.216466667,0.083333333,0.270366667,0.281000000,0.451450000,0.087900000,0.082200000,0.081966667,0.129650000,0.118300000,0.245300000,0.070640000
0.4555 ,0.095100000,0.108050000,0.274266667,0.079466667,0.267800000,0.202275000,0.130366667,0.075500000,0.105400000,0.217866667,0.084000000,0.271866667,0.282300000,0.452525000,0.088333333,0.083133333,0.082400000,0.130475000,0.119800000,0.246933333,0.071160000
0.4570 ,0.096000000,0.108575000,0.275733333,0.079933333,0.269200000,0.203550000,0.131366667,0.076100000,0.106533333,0.219266667,0.084633333,0.273400000,0.283700000,0.453325000,0.088666667,0.083966667,0.082800000,0.131225000,0.121166667,0.248266667,0.071600000
0.4584 ,0.096966667,0.109025000,0.277133333,0.080433333,0.270566667,0.204800000,0.132433333,0.076666667,0.107633333,0.220633333,0.085333333,0.274866667,0.285025000,0.454225000,0.089066667,0.084900000,0.083166667,0.131975000,0.122533333,0.249633333,0.072000000
