 x , Cluster6 , Cluster5 , Cluster4 , Cluster3 , Cluster2 , Cluster1 
0.63,0.4298648,0.361579738,0.349884948,0.299927969,0.232318535,0.162684808
0.6325,0.4314144,0.363314773,0.351417591,0.300798647,0.232451028,0.163756119
0.635,0.43312727,0.365270897,0.352683754,0.301580872,0.232518008,0.164976628
0.6375,0.434972517,0.367335754,0.353669133,0.303055265,0.233492398,0.166062052
0.64,0.436795268,0.369343598,0.354798268,0.304582596,0.234514425,0.166937149
0.6425,0.43850706,0.371044601,0.356320467,0.305944387,0.235272445,0.167897545
0.645,0.440167766,0.372376461,0.358076952,0.307567525,0.236798321,0.169093913
0.6475,0.441802284,0.373730297,0.359861621,0.309719381,0.239607133,0.170259629
0.65,0.443291477,0.375438695,0.361545206,0.311739827,0.242357437,0.171224536
0.6525,0.444756279,0.377145506,0.36325189,0.312971734,0.243833643,0.17233132
0.655,0.447316107,0.378431653,0.36509962,0.313839654,0.24457427,0.173882433
0.6575,0.450586855,0.379720067,0.366928842,0.314958578,0.245540588,0.175487638
0.66,0.452405088,0.381572488,0.368560834,0.316503234,0.247114618,0.176639931
0.6625,0.453484401,0.383783637,0.370253132,0.318478385,0.248824324,0.177445096
0.665,0.455614384,0.385877478,0.372384883,0.320668012,0.250318143,0.178267082
0.6675,0.458534349,0.387927223,0.374687841,0.32269402,0.251633204,0.179464005
0.67,0.460846824,0.390300477,0.376557205,0.32437046,0.252854373,0.181349371
0.6725,0.462405912,0.392864168,0.378142484,0.325659804,0.254066539,0.183571726
0.675,0.464080115,0.395088703,0.380180419,0.326768321,0.255355014,0.185261839
0.6775,0.466193791,0.396878631,0.382496161,0.328126104,0.25680288,0.186248028
0.68,0.468428995,0.398635588,0.383896682,0.329898329,0.258387848,0.187153463
0.6825,0.470555626,0.40058193,0.3846103,0.331889427,0.259949775,0.188318735
0.685,0.472532859,0.402621794,0.386850487,0.333910265,0.261399495,0.189582182
0.6875,0.474450111,0.404634894,0.390370683,0.335864901,0.262794346,0.190791319
0.69,0.476639967,0.406507148,0.393530592,0.337712904,0.264202235,0.19190627
0.6925,0.47920418,0.408198893,0.395267253,0.339511365,0.265678315,0.192935678
0.695,0.481758229,0.409895168,0.396317615,0.341322064,0.267245814,0.193991629
