run_index,parent_run_index,run_overrides,pixel_index,source,abundance_rmse,reconstruction_rmse,endmember_1,endmember_2,endmember_3,endmember_4,endmember_5,endmember_6
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,true,0.000000,0.044448,0.001189,0.609965,0.133754,0.000872,0.000000,0.254221
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,gbm,0.109080,0.044423,0.048683,0.427168,0.286640,0.070142,0.000026,0.167341
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,kan,0.106155,0.050751,0.096500,0.580410,0.073917,0.108710,0.077238,0.063225
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,mlp,0.129444,0.047401,0.114402,0.441692,0.229259,0.119518,0.028963,0.066167
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,sunsal,0.109126,0.044416,0.049135,0.429220,0.286622,0.070425,0.001349,0.163250
3,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.0,snr_db=20.0",7993,vpgdu,0.117822,0.045626,0.016765,0.487648,0.178012,0.211246,0.000000,0.106329
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,true,0.000000,0.046506,0.000062,0.512608,0.031266,0.004055,0.036125,0.415885
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,gbm,0.050072,0.048648,0.063917,0.437198,0.002138,0.053906,0.000694,0.442148
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,kan,0.245626,0.046611,0.331717,0.117300,0.060028,0.177469,0.133048,0.180439
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,mlp,0.241184,0.058025,0.325753,0.066570,0.016084,0.188946,0.076099,0.326549
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,sunsal,0.160058,0.045554,0.008292,0.387741,-0.000474,0.340299,-0.001522,0.265664
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",3235,vpgdu,0.054914,0.053904,0.000000,0.437643,0.000000,0.070296,0.000000,0.492061
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,true,0.000000,0.046438,0.149768,0.083240,0.472957,0.001274,0.000011,0.292751
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,gbm,0.367202,0.045517,0.142919,0.020614,0.000154,0.691848,0.142222,0.002243
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,kan,0.261543,0.046404,0.083808,0.095618,0.099718,0.434746,0.195049,0.091061
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,mlp,0.207310,0.048213,0.109305,0.085502,0.160433,0.277558,0.236540,0.130662
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,sunsal,0.367982,0.045513,0.144522,0.020749,-0.000122,0.692668,0.143085,-0.000902
4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",5911,vpgdu,0.351922,0.046182,0.162834,0.000000,0.000281,0.616250,0.220635,0.000000
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",2352,true,0.000000,0.043497,0.411067,0.003839,0.108163,0.373641,0.068142,0.035147
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",2352,gbm,0.236868,0.043459,0.100418,0.402476,0.000058,0.215613,0.037432,0.244004
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",2352,kan,0.079915,0.043497,0.357679,0.114042,0.115049,0.237467,0.071926,0.103837
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",2352,mlp,0.148548,0.043635,0.260548,0.187906,0.145460,0.129739,0.152580,0.123767
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",2352,sunsal,0.236599,0.043452,0.101334,0.404119,0.000224,0.215885,0.037734,0.240704
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",2352,vpgdu,0.239584,0.046039,0.138988,0.327221,0.096255,0.104640,0.000000,0.332897
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",6693,true,0.000000,0.043080,0.297797,0.037759,0.246774,0.069327,0.153654,0.194689
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",6693,gbm,0.071377,0.043072,0.345644,0.000015,0.249139,0.000108,0.283139,0.121954
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",6693,kan,0.069572,0.043396,0.180902,0.127405,0.181788,0.108233,0.170774,0.230898
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",6693,mlp,0.074075,0.043122,0.218837,0.119913,0.132376,0.141932,0.193389,0.193554
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",6693,sunsal,0.072774,0.043067,0.346454,0.001402,0.250011,-0.001207,0.285049,0.118291
5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",6693,vpgdu,0.049041,0.043128,0.342833,0.000000,0.266919,0.000000,0.224031,0.166216
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",525,true,0.000000,0.045213,0.239203,0.245714,0.102715,0.276359,0.079979,0.056030
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",525,gbm,0.112098,0.044276,0.110135,0.226032,0.177927,0.484600,0.001306,0.000000
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",525,kan,0.038862,0.047415,0.194506,0.212013,0.175636,0.259637,0.084580,0.073628
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",525,mlp,0.083246,0.045000,0.135224,0.283470,0.239991,0.178303,0.109568,0.053445
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",525,sunsal,0.110596,0.044183,0.125335,0.225382,0.179479,0.483180,-0.004304,-0.009072
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",525,vpgdu,0.158054,0.046570,0.270556,0.000000,0.371741,0.357703,0.000000,0.000000
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",8418,true,0.000000,0.044696,0.052000,0.047350,0.062140,0.213181,0.280269,0.345059
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",8418,gbm,0.218337,0.044161,0.000525,0.152073,0.000416,0.000303,0.706212,0.140472
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",8418,kan,0.049645,0.044850,0.092780,0.064835,0.070412,0.121371,0.248172,0.402430
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",8418,mlp,0.040517,0.045377,0.098732,0.032870,0.074472,0.146586,0.255031,0.392309
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",8418,sunsal,0.222824,0.044136,0.001607,0.156421,-0.001460,-0.000842,0.713506,0.130767
6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",8418,vpgdu,0.145357,0.045231,0.014373,0.158051,0.000000,0.000000,0.528604,0.298972
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",283,true,0.000000,0.014072,0.002778,0.795063,0.065737,0.000050,0.122901,0.013471
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",283,gbm,0.102097,0.014063,0.153153,0.629322,0.136925,0.032932,0.044072,0.003595
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",283,kan,0.042452,0.017028,0.041459,0.813831,0.060677,0.018334,0.032304,0.033395
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",283,mlp,0.079063,0.015364,0.114200,0.696495,0.117682,0.045072,0.019932,0.006618
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",283,sunsal,0.103522,0.014043,0.155823,0.628275,0.138336,0.034739,0.042884,-0.000056
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",283,vpgdu,0.129821,0.014117,0.185965,0.582055,0.170094,0.037543,0.024343,0.000000
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",7932,true,0.000000,0.014576,0.635489,0.051422,0.119489,0.026339,0.000518,0.166744
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",7932,gbm,0.090871,0.014572,0.510670,0.207167,0.043171,0.000204,0.018352,0.220438
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",7932,kan,0.044133,0.014722,0.599743,0.083498,0.071072,0.028941,0.079132,0.137614
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",7932,mlp,0.070318,0.020285,0.689067,0.114685,0.017920,0.015478,0.076897,0.085953
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",7932,sunsal,0.089647,0.014558,0.512823,0.206631,0.045080,-0.000014,0.018429,0.217051
7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",7932,vpgdu,0.081556,0.014572,0.522497,0.191184,0.060736,0.000000,0.000000,0.225583
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",8761,true,0.000000,0.016808,0.224026,0.027807,0.016608,0.369681,0.356953,0.004925
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",8761,gbm,0.077965,0.014915,0.121875,0.086637,0.000659,0.498033,0.280815,0.011981
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",8761,kan,0.104926,0.017413,0.092697,0.179903,0.035252,0.229427,0.390458,0.072263
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",8761,mlp,0.090545,0.021258,0.139768,0.093847,0.080193,0.289493,0.258930,0.137769
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",8761,sunsal,0.081275,0.014649,0.121723,0.093230,-0.000114,0.505931,0.279374,-0.000145
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",8761,vpgdu,0.141748,0.019974,0.201107,0.010105,0.057079,0.483660,0.077994,0.170055
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",9795,true,0.000000,0.014787,0.000001,0.905066,0.000000,0.000137,0.060315,0.034481
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",9795,gbm,0.053888,0.014338,0.008674,0.860843,0.000184,0.111644,0.016767,0.001888
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",9795,kan,0.029016,0.014957,0.036679,0.886919,0.029501,0.015884,0.017824,0.013194
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",9795,mlp,0.034877,0.014731,0.041181,0.878777,0.027892,0.027446,0.003691,0.021013
8,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.25,snr_db=30.0",9795,sunsal,0.053979,0.014334,0.008367,0.862237,-0.001013,0.112386,0.018058,-0.000035
