seed,run_index,parent_run_index,run_overrides,metric,sunsal,vpgdu,gbm,mlp,kan
2,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.159337,0.138803,0.153229,0.124070,0.129295
2,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045283,0.047415,0.045537,0.047032,0.046696
3,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.158642,0.142982,0.152417,0.128523,0.131854
3,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045314,0.047501,0.045547,0.047217,0.046372
4,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.157640,0.141226,0.151401,0.127321,0.128643
4,4,1,"dirichlet_alpha=0.4,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045291,0.047570,0.045530,0.046553,0.046266
0,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.139466,0.143524,0.138530,0.110061,0.108677
0,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044309,0.044794,0.044320,0.045067,0.044574
1,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.137589,0.140301,0.136442,0.106444,0.110922
1,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044415,0.044905,0.044425,0.045168,0.044833
2,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.135475,0.142423,0.134648,0.110067,0.109297
2,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044356,0.044843,0.044363,0.044934,0.044688
3,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.140797,0.142192,0.139940,0.107596,0.111804
3,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044303,0.044771,0.044314,0.045017,0.044663
4,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",abundance_rmse,0.139188,0.140402,0.138207,0.110602,0.107878
4,5,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.0,snr_db=20.0",reconstruction_rmse,0.044364,0.044810,0.044373,0.044928,0.044624
0,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.171866,0.145529,0.165256,0.110716,0.107529
0,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045281,0.047918,0.045578,0.046600,0.046491
1,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.177358,0.145633,0.171483,0.107982,0.111533
1,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045382,0.048176,0.045684,0.046904,0.046985
2,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.170963,0.147776,0.164600,0.108639,0.110239
2,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045347,0.048550,0.045625,0.046695,0.046833
3,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.173321,0.149054,0.167694,0.109795,0.109840
3,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045272,0.047866,0.045536,0.046569,0.046330
4,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",abundance_rmse,0.175268,0.148363,0.168949,0.105981,0.110325
4,6,1,"dirichlet_alpha=1.0,nonlinearity_gamma=0.25,snr_db=20.0",reconstruction_rmse,0.045303,0.047957,0.045585,0.046968,0.047224
0,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.056794,0.073372,0.056471,0.096387,0.073252
0,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014059,0.014351,0.014071,0.017497,0.015657
1,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.056370,0.070189,0.056083,0.094568,0.068175
1,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014084,0.014300,0.014096,0.016208,0.015508
2,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.058284,0.079063,0.057971,0.079730,0.072892
2,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",reconstruction_rmse,0.014086,0.019427,0.014098,0.016887,0.016343
3,7,1,"dirichlet_alpha=0.3,nonlinearity_gamma=0.0,snr_db=30.0",abundance_rmse,0.055901,0.074709,0.055667,0.081742,0.071908
