run_index,cluster_set,normalization,transform,snr_db,model,sample_index,true_a1,true_a2,true_a3,true_a4,true_a5,true_a6,est_a1,est_a2,est_a3,est_a4,est_a5,est_a6
1,6clusters_thomas,without,first_derivative,40.0,sunsal,0,0.11871753050315412,0.03412656568134045,0.5947263076833823,0.04054067586589733,0.012763397876445853,0.19912552238978004,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,1,0.16003047641678622,0.1769701293364209,0.009536067856824013,0.2452152896225027,0.3342399080485881,0.07400812871887814,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,2,0.4006613600552236,0.04983536318663638,0.18782461960544503,0.030759023049949444,0.2204678269697895,0.11045180713295609,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,3,0.06737898526847988,0.25915226902835964,0.10903218968265031,0.08792743672217022,0.2778321170010982,0.1986770022972416,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,4,0.09925588948996748,0.027976788926329602,0.12214668216054497,0.013430777531432304,0.7171025176126851,0.020087344279040506,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,5,0.31348725621994294,0.24063810700760935,0.040470087958920764,0.22786060655821988,0.006048696228193805,0.17149524602711336,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,6,0.15992097714692255,0.007915412039179134,0.1475032957600456,0.5019858840281516,0.10708858255695314,0.0755858484687481,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,7,0.12030895474486705,0.2314873576507668,0.10497368646256157,0.05326068897658339,0.2037576872212192,0.28621162494400193,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,8,0.21920874512292682,0.6062733160617503,0.04028497280975921,0.09323453749637557,0.033838820021457584,0.007159608487730619,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,sunsal,9,0.13672170864952404,0.19342812733441903,0.46481488512502994,0.15562323931883812,0.04783612296813726,0.0015759166040516062,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,0,0.11871753050315412,0.03412656568134045,0.5947263076833823,0.04054067586589733,0.012763397876445853,0.19912552238978004,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,1,0.16003047641678622,0.1769701293364209,0.009536067856824013,0.2452152896225027,0.3342399080485881,0.07400812871887814,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,2,0.4006613600552236,0.04983536318663638,0.18782461960544503,0.030759023049949444,0.2204678269697895,0.11045180713295609,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,3,0.06737898526847988,0.25915226902835964,0.10903218968265031,0.08792743672217022,0.2778321170010982,0.1986770022972416,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,4,0.09925588948996748,0.027976788926329602,0.12214668216054497,0.013430777531432304,0.7171025176126851,0.020087344279040506,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,5,0.31348725621994294,0.24063810700760935,0.040470087958920764,0.22786060655821988,0.006048696228193805,0.17149524602711336,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,6,0.15992097714692255,0.007915412039179134,0.1475032957600456,0.5019858840281516,0.10708858255695314,0.0755858484687481,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,7,0.12030895474486705,0.2314873576507668,0.10497368646256157,0.05326068897658339,0.2037576872212192,0.28621162494400193,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,8,0.21920874512292682,0.6062733160617503,0.04028497280975921,0.09323453749637557,0.033838820021457584,0.007159608487730619,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
1,6clusters_thomas,without,first_derivative,40.0,vpgdu,9,0.13672170864952404,0.19342812733441903,0.46481488512502994,0.15562323931883812,0.04783612296813726,0.0015759166040516062,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,0,0.031500284844359704,0.05306993937103074,0.12455408177476243,0.17161460337881282,0.2942736458159889,0.32498744481504543,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,1,0.0667871599614815,0.0470629504716139,0.13638492604543964,0.1551364483433614,0.4984447056755937,0.09618380950250995,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,2,0.09548443604479538,0.11004212527667133,0.04555072396199809,0.2872913225917261,0.17020708002531829,0.29142431209949077,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,3,0.017244179158752565,0.035628334801358894,0.02034178446997905,0.14435828870088283,0.42683618275294233,0.35559123011608434,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,4,0.15470630438012392,0.21794321171474637,0.19171610050048946,0.22662592295888248,0.10945391068736632,0.09955454975839147,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,5,0.03972769079906049,0.06933204062287247,0.2544780103506358,0.15549759771521668,0.3494489946046344,0.13151566590758007,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
2,6clusters_thomas,with_quadratic,first_derivative,50.0,sunsal,6,0.051488634160150565,0.14633525932590946,0.4861947307557564,0.1315710205612085,0.14344389409653527,0.04096646110043983,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204,0.1666666716337204
